"","borough.name","incineq","childpov","incdepriv","povrate"
"1","Barking and Dagenham","2.17","42","9","29"
"2","Barnet","2.41","25","77","26"
"3","Bexley","2.32","26","7","26"
"4","Brent","2.34","36","11","32"
"5","Bromley","2.47","20","58","17"
"6","Camden","2.62","40","18","41"
"7","City of London",NA,NA,"42",NA
"8","Croydon","2.46","30","01","26"
"9","Ealing","2.42","32","1","34"
"10","Enfield","2.36","31","49","33"
"11","Greenwich","2.44","36","26","21"
"12","Hackney","2.66","43","8","28"
"13","Hammersmith and Fulham","2.38","28","03","18"
"14","Haringey","2.49","35","43","33"
"15","Harrow","2.68","31","82","23"
"16","Havering","2.39","28","69","16"
"17","Hillingdon","2.38","31","85","22"
"18","Hounslow","2.47","32","96","28"
"19","Islington","2.42","37","58","25"
"20","Kensington and Chelsea",NA,"23","7","29"
"21","Kingston upon Thames","2.78","19","59","22"
"22","Lambeth","2.53","36","19","28"
"23","Lewisham","2.37","33","39","32"
"24","Merton","2.76","27","67","14"
"25","Newham","2.42","44","49","35"
"26","Redbridge","2.51","32","91","27"
"27","Richmond upon Thames","2.86","12","5","11"
"28","Southwark","2.46","36","5","25"
"29","Sutton","2.36","22","63","22"
"30","Tower Hamlets","2.52","48","03","39"
"31","Waltham Forest","2.49","38","14","23"
"32","Wandsworth","2.7","26","77","34"
"33","Westminster","2.78","31","87","43"
